,name,genre,description,install,review,star
0,Sushi Roll 3D - Cooking ASMR Game,Simulation,"Slice, chop, and roll your way to sushi success in this satisfying cooking game. The more sushi you roll, the happier your customers will be and the more money your restaurant will make! 😁

NOW YOU’RE COOKING!

Sharpen your knife skills on all sorts of Japanese dishes. 🍣 But the cooking fun doesn’t stop there! You can keep unlocking new actions as you advance to add tons of captivating new mini-games to your gameplay experience.

Satisfy customers by making quality food fast with a variety of fixings, and watch them react with lots of likes and a big cash tip 🤑 — or anger at poorly made food 😡. When making sushi, be sure to pick up the right ingredients and avoid obstacles to deliver the most delicious meals. Be careful: no guest wants too much seaweed and too little fish — or worse, thumbtacks and moldy cheese in their sushi! 😱🤢

SUSHI AND CHILL

As you slash through fun levels in the game, you’ll cut through your worries in real life! Feast your eyes and ears on anti-stress ASMR vibes while you work your way to master sushi chef. With its charming graphics and optional vibration, this relaxing game will have you dreaming of sushi! 😴

GAME FEATURES:

★ Beat increasingly challenging levels to earn more cash and unlock new fillings and toppings. This cooking and restaurant management game is sure to keep you coming back for seconds!

★ Level up your sushi skills to earn better Surprise Box rewards 🎁, including new ingredients, cutting tools, and actions. You can also earn more skins to customize your gameplay!

★ Roll and chop sushi, scale and slice fish, grate cheese, make rice, weigh out noodles in take-out boxes, and more in different mini-games that never get old. 🍤🍚🍜

★ Work with the classic ingredients of fish, rice, and seaweed, and earn special toppings as you progress, including chili peppers, durian fruit, and caviar. Combine your options to make different types of dishes, including maki, sashimi, nigiri, noodles, and more.

★ Upgrade your restaurant with new furniture, dishware, decorations, and accessories to increase your revenue per minute. 🍽️ The more levels you complete, the more options you’ll have for chopping: why slice with a plain old knife 🔪 when you could hack with an ax 🪓 or gnaw with a chainsaw?

★ Test your skills in entertaining bonus levels with wild and unexpected ingredients. Roll out the red carpet for VIP guests by making sushi and other dishes with fun objects like cash, gold, bling, gadgets, computer chips, honeycomb and more. Don’t forget to top it off with diamonds and rubies!

★ Relax and enjoy this ASMR game with anti-stress sounds, visuals, and tasty virtual treats. Who knew sushi could be so soothing?

★ Check out the in-game store to buy special bonuses and upgrades.

★ The user-friendly and easy-to-learn interface makes it easy to jump in and get rolling.

What other game can serve you tasty sushi, engaging and satisfying gameplay, a chill ASMR atmosphere, and the opportunity to run your own restaurant? Once you find yourself on a roll, you won’t be able to put this game down!

Well, what are you waiting for? Step up to the cutting board and start cooking! Chop-chop! 

Download the game now and get your sushi on! 😄🍣
","10,000,000+",73980.0,4.1
1,마술양품점,Casual,"""세렌티스로 돌아와 잠시 가게를 맡아주겠니?""
엄마의 편지 한 통으로 시작된 나만의 판타지 스토리!

두근두근! 설렘 가득한 마술양품점, 지금 시작합니다!

• 아기자기한 2D 그래픽
캐주얼한 감성의 아바타, 캐릭터, 인테리어 가구들!
통통 튀는 아바타 모션과 마법처럼 움직이는 가구 연출까지!
싱크로율 100% 오마이걸 캐릭터도 만나보세요!

• 내 마음대로 꾸미기 
다양한 테마로 아바타 꾸미기와 가게 인테리어!
나의 분신, 최애, 워너비 스타일까지 모두 가능한 판타지 플레이스!
가게를 증축하면 꾸미기 공간이 플러스!

• 환상 속 마법 아이템
한 번쯤 상상해 본 마법 아이템을 제작해봐! 
전문술사가 되면 전용 마법 아이템들도 제작할 수 있어요! 

• 취향저격 캐릭터들과의 스토리
취향 존중! 뭘 좋아할지 몰라 다 준비했어
매력만점 캐릭터들과 함께하는 좌충우돌 에피소드!
호감도를 쌓으면 더 많은 스토리가 열려요!

• 꿀잼 보장 탐험
다양한 탐험 맵에서 특별한 재료들을 파밍!
친구,길드원과 함께 가면 버프와 보상도 빵빵!
가끔 스페셜 NPC가 등장하니 조심하세요!

• 긴장감 넘치는 랭킹 시스템 
매주 진행되는 4개 종목의 랭킹전
길드 단체 랭킹전부터 솔플 랭킹전까지!
다양한 플레이 전략으로 상위 랭커에 도전하세요! 

▶ 공식 커뮤니티 바로가기
https://page.onstove.com/magicshop/kr

▶ 공식 YouTube 바로가기
https://www.youtube.com/channel/UCt7fkSSy-DJR-P2s-ZcuvwQ

▶ 고객 센터 바로가기
https://help.onstove.com/web/faq/serviceMain/page?game=2009160001

------------------------------------

[필수 접근 권한]
- 파일 읽기/쓰기: 게임을 이용하기 위해서는 해당 권한의 승인이 필수로 필요합니다.

[선택적 접근 권한]
- 사진/알림: 커뮤니티, 고객센터, 문의하기 기능을 사용하기 위해서 해당 권한의 승인이 필요합니다.
* 선택적 접근권한 허용에 동의하지 않아도 서비스 이용이 가능합니다.

*마술양품점은 안드로이드 5.0 이상 버전에 맞추어 선택적 접근권한을 개별적으로
동의하고 설정할 수 있도록 개발되었습니다. 만약 안드로이드 5.0 미만 버전을
이용하는 경우에는 단말장치 제조업체에서 운영체제 업그레이드 기능을 제공하는지
확인하여 업그레이드를 진행하시고 이용하시기 바랍니다. 또한 운영체제가
업그레이드되더라도 기존 앱에서 동의한 접근권한이 바뀌지는 않기 때문에
접근권한을 다시 설정하기 위해서는 단말 설정 메뉴에서 재설정하시면 됩니다

[접근 권한 설정 및 철회 방법]
- Android 5.0 이상 : 단말기 설정 > 애플리케이션 > 앱 선택 > 접근권한 철회
- Android 5.0 미만 : 앱 삭제를 통한 접근 권한 철회 가능

------------------------------------

■ 상품 정보 및 이용 조건 안내 ■
- 공급자: ㈜스마일게이트메가포트 , 대표자명: 장인아
- 이용조건 및 기간 : 게임 내 별도 고지된 내용을 따름 
(사용기간이 표시되지 않은 경우, 서비스의 종료일까지를 사용기간으로 간주) 
- 결제금액 및 방법 : 상품 별 별도 고지된 결제금액 및 결제방법에 따름
(외화 결제 시 환율 및 수수료 등으로 인해 실제 청구금액과 다를 수 있음)
- 상품지급방식 : 게임 내 구매한 계정(캐릭터)으로 즉시 지급
- 주소 : 경기도 성남시 분당구 판교로 344, 9층 (삼평동, 스마일게이트캠퍼스) 13493
- 전자우편주소 : help@smilegate.com
- 사업자번호 : 144-81-05911
- 통신판매업신고번호 : 제 2012-경기성남-1489 호
- 통신판매업 신고기관: 성남시 
- 개인정보처리방침: http://www.smilegatemegaport.com/terms/index?gameType=MOBILE&termsType=2
- 서비스이용약관: http://www.smilegatemegaport.com/terms/index?gameType=MOBILE&termsType=1

* 이 게임은 부분유료 아이템 구매가 가능합니다. 부분유료 아이템 구매 시 추가 비용이 발생할 수 있으며, 아이템 종류에 따라 청약철회가 제한될 수도 있습니다. 보다 자세한 사항은 '서비스이용약관'에서 확인하실 수 있습니다.
-----
개발자 연락처: 경기도 성남시 분당구 판교로 344 스마일게이트캠퍼스
연락처: 1833-7462
----
개발자 연락처 :
경기도 성남시 분당구 판교로 344, 9층, 13493(9F, 344 Pangyo-ro, Bundang-gu, Seongnam-si,
Gyeonggi-do, Republic of Korea, 13493)
""Will you return to Serentis and take over the store for a while?""
My own fantasy story that started with a single mother's letter!

Exciting! A magical boutique full of excitement, starting now!

• Cute 2D graphics
Casual avatars, characters, and interior furniture!
Avatar motion bouncing and creating furniture that moves like magic!
100% Synchro Rate Meet Oh My Girl characters!

• Customize your own
Decorate avatars and store interiors with various themes!
A fantasy place where all of my alter ego, Choi Ae, and Wannabe style are possible!
If you expand the store, you'll add space to decorate!

• Magic item in fantasy
Craft a magic item you've imagined at least once!
Become a professional sorcerer, you can also craft exclusive magic items!

• Stories with favorite sniper characters
Respect your taste! I don't know what to like, so I'm ready
Jwachungwoodol episode with charming characters!
If you build up your affinity, more stories will open up!

• A guaranteed expedition
Farming special materials in various exploration maps!
If you go with your friends and guild members, you will get buffs and rewards!
Special NPCs appear occasionally, so be careful!

• A thrilling ranking system
Ranking of 4 events held every week
From guild group rankings to solo rankings!
Challenge the top rankers with various play strategies!

▶ Go to the official community
https://page.onstove.com/magicshop/kr

▶ Go to Official YouTube
https://www.youtube.com/channel/UCt7fkSSy-DJR-P2s-ZcuvwQ

▶ Go to Customer Center
https://help.onstove.com/web/faq/serviceMain/page?game=2009160001< /a>

------------------------------------

[Required access rights]
-File read/write: In order to use the game, approval of the appropriate permission is required.

[Optional access rights]
-Photo/Notification: In order to use the Community, Customer Center, and Contact Us functions, approval of the appropriate authority is required.
* You can use the service even if you do not agree to allow optional access rights.

*Magic boutiques individually grant optional access rights for Android 5.0 or higher.
It was developed so that you can agree and set. If you have a version below Android 5.0
In the case of use, does the terminal device manufacturer provide the operating system upgrade function?
Please check and upgrade before using. Also, the operating system
Even if upgraded, the access rights agreed to in the existing app do not change.
To re-establish access rights, you can reset them in the terminal settings menu.

[How to set and revoke access rights]
-Android 5.0 or higher: Terminal Settings> Application> Select an app> Revoke access rights
-Under Android 5.0: You can revoke access rights by deleting the app

------------------------------------

■ Product information and usage conditions guide ■
- Supplier: Smilegate Megaport Inc., CEO: In-ah Chang
- Terms and conditions of use : Subject to the content separately notified in the game
(If the period of use is not indicated, the period of use until the end of the service is considered)
- Payment amount and method : According to the separately notified payment amount and payment method for each product
(For foreign currency payments, it may differ from the actual billed amount due to exchange rates and fees)
- Product payment method : Immediately paid to the account (character) purchased in the game
- Address: 9F, 344, Pangyo-ro, Bundang-gu, Seongnam-si, Gyeonggi-do (Sampyeong-dong, Smilegate Campus) 13493
- E-mail address : help@smilegate.com
- Business number : 144-81-05911
- Mail-order business report number: 2012-Gyeonggi Seongnam-1489 
- Mail-order business reporting agency: Seongnam City
- Personal information processing policy: http://www.smilegatemegaport.com/terms/index?gameType=MOBILE&termsType=2
- Service Terms of Use: http://www.smilegatemegaport.com/terms/index?gameType=MOBILE&termsType=1

* This game can be purchased for partially paid items. Additional costs may be incurred when purchasing partially-paid items, and withdrawal of subscription may be restricted depending on the item type. For more details, please refer to the'Terms of Service'.
-----
Developer Contact: Smilegate Campus, 344, Pangyo-ro, Bundang-gu, Seongnam-si, Gyeonggi-do
Contact: 1833-7462
","500,000+",6995.0,4.2
2,Who is? Brain Teaser & Riddles,Trivia,"A brand new puzzle and riddle game comes from the makers of fun-favorite Brain Test: Tricky Puzzles and Brain Test 2: Tricky Stories! If you like brain games and mind games then you will relax with this puzzle game and play for your brain training.

Who is? Brain Teaser & Riddles is a completely free riddle game, which will challenge your brain and mind. Each level consists of difficult choices, riddles, puzzles, and questions. You will solve complex riddles by finding clues, objects, and hidden secrets. Brain games will get harder and challenging as you complete the levels filled with tricky riddles and logical puzzles. Play hundreds of amazing jigsaw puzzles for your brain out and exercise with brain games and logic games. If you like IQ games or IQ quizzes you will also find many tricky questions for healthy brain training.

This puzzle game will test your brain and tease your mind with crazy puzzles and riddles. You will think outside the box and find clever solutions. Answers to the riddles will blow your brain and surprise you! Players will increase their IQ and brainpower as they solve a variety of puzzles and riddles. This puzzle game is not easy and you will find out many tricky puzzles. 

This mind game offers a great user experience with artistic and funny graphics and animations. You will play a variety of crazy riddles where you solve the problems such as who is the mother, who is cheating and who is the lover. You will solve crimes, uncover hidden secrets, and complete complex puzzles by finding clues.

This free mobile game can be played anywhere and anytime. Puzzles & riddles can be solved comfortably with one hand and you can enjoy the game without pushing yourself too hard. No reflex testing or phone shaking is needed to complete logic game levels. You can relax and enjoy solving our funny tricky riddles for funny brainwash. Stupid test, moron test, or dumb test, all of them are in this brain game.

Features:

● Mystery solving and clue hunt levels: Who is lying? Who is the mother? Who is the killer?
● Free to download, free to play, and free to enjoy. No hidden fees.
● Dozens of levels filled with Tricky & Crazy riddles.
● Choice-based complex scenarios and gameplay.
● Professional graphics and animations.
● Immersive and funny sound effects.
● A great game to develop brain skills and IQ.
● Funny stories and characters.
● Levels filled with brain teaser humor.
● Clue detection system for complex puzzle lovers.
● Find hidden object levels to test your perception.
● No copy-paste levels, each level is %100 unique.
● Intuitive Help and Hint systems to help you along the way.
● Addictive and relaxing gameplay.
● Can be played offline.
● Play without the internet.
● Brain games for adults to boost their brainpower.
● Great exercise for brain training.

What are you waiting for? Download Who is? Brain Teaser & Riddles now to start solving the craziest and trickiest riddles ever! 

Have fun!
","10,000,000+",604783.0,4.6
3,Pokémon GO,Adventure,"Join Trainers across the globe who are discovering Pokémon as they explore the world around them. Pokémon GO is the global gaming sensation that has been downloaded over 1 billion times and named “Best Mobile Game” by the Game Developers Choice Awards and “Best App of the Year” by TechCrunch.
_______________

UNCOVER THE WORLD OF POKÉMON: Explore and discover Pokémon wherever you are!

CATCH more Pokémon to complete your Pokédex!

JOURNEY alongside your Buddy Pokémon to help make your Pokémon stronger and earn rewards!

COMPETE in epic Gym battles and...

TEAM UP with other Trainers to catch powerful Pokémon during Raid Battles!

It’s time to get moving—your real-life adventures await! Let’s GO!
_______________

Notes: 

- This app is free-to-play and offers in-game purchases. It is optimized for smartphones, not tablets.
- Compatible with Android devices that have 2GB RAM or more and have Android Version 4.4–7.0+ installed.
- Compatibility is not guaranteed for devices without GPS capabilities or devices that are connected only to Wi-Fi networks.
- Application may not run on certain devices even if they have compatible OS versions installed.
- It is recommended to play while connected to a network in order to obtain accurate location information.
- Compatibility information may be changed at any time.
- Please visit PokemonGO.com for additional compatibility information. 
- Information current as of July 11, 2019.
","100,000,000+",14155144.0,4.1
4,KartRider Rush+,Racing,"The kart racing sensation enjoyed by over 300M players worldwide is back and better than ever with more style, more game modes, more thrill! Race with friends or just play it solo through a variety of gameplay modes. Collect and upgrade iconic characters and karts from the KartRider universe. Climb the leaderboard ranks and become the ultimate racing legend!

▶ A Heroic Tale Unfolds! 
The stories behind what drives the Racers are finally brought to light! Experience an immersive story mode unique to the KartRider franchise that introduces you to the various gameplay modes! 

▶ Master the Modes
Whether it’s chasing glory as a lone racer or rising to the top of the leaderboards as a team, it’s you who will decide your own path. Select from a variety of gameplay modes that will pave your way to victory.
Speed Race: Earn licenses that unlock more challenging race tracks as you progress and rely on pure drifting skills to reach the finish line
Arcade Mode: Choose from a selection of gameplay modes such as Item Race, Infini-Boost, or Lucci Runner that add an extra layer of fast-paced thrill to your races
Ranked Mode: From Bronze to Living Legend, climb up the Racing Tiers and earn respect among your peers 
Story Mode: Join Dao and friends and help them stop the treacherous Pirate Captain Lodumani’s evil deeds
Time Trial: Beat the clock and make your mark as the fastest racer

▶ Drift in Style
Kart racing has never looked so good! Style your Racer in the latest outfits and accessories and go BOLD with a selection of stylish and iconic Karts. Adorn your ride with trendy decals and pets that will earn you prestige on the tracks.

▶ Become a Racing Legend
Take the wheel and show your rivals what true speed is all about though competitive multiplayer matches in real-time. Leverage the drifting controls optimized for mobile, time your Nitro boosts to make for the perfect drift, and leave your opponents in the dust!

▶ Join the Club
Join forces with players from around the world and complete quests together as a Club. Show off your latest kart through your own private customizable Home or cool off from a hard-earned match with fun, quick mini-games.

▶ Race Tracks on Another Level
Accelerate to the finish line through over 45+ race tracks! Whether you’re taking a tour through the bustling traffic in London Nights, or enduring the biting chill of the ice in Shark’s Tomb, every track has their own distinctive traits that offer a different racing experience for players looking for a challenge.

Follow Us:
Official Site: https://kartrush.nexon.com
Facebook: https://www.facebook.com/kartriderrushplus
Twitter: https://twitter.com/KRRushPlus
Instagram: https://www.instagram.com/kartriderrushplus
Instagram (South East Asia): https://www.instagram.com/kartriderrushplus_sea
Twitch: https://www.twitch.tv/kartriderrushplus

Note: An internet connection is required to play this game.
*For the best gaming experience, the following specs are recommended: AOS 4.4 or higher / Galaxy Note 3 or higher / Minimum 1GB RAM required*

- Terms of Service: https://m.nexon.com/terms/304
- Privacy Policy: https://m.nexon.com/terms/305 


■ Smartphone App Permissions

[Smartphone App Permissions]
We are requesting certain app permissions to provide the below services.

[Optional App Permissions]
Photo/Media/File: Saving images, uploading photos/videos.
Phone: Collecting numbers for promotional texts.
Camera: Taking photos or filming videos for uploading.
Mic: Talking during the game.
* Game can still be played if you do not grant these permissions.

[How to Withdraw Permissions]
▶ Android above 6.0: Settings > App > Select App > Permission List > Allow/Deny Permission
▶ Android below 6.0: Upgrade the OS to deny permissions, or delete the app
* The game may not initially offer individual permission settings; in this case, use the above method to adjust permissions.
* This app offers in-app purchases. You can disable this feature by adjusting your device settings.
","10,000,000+",343976.0,4.0
5,Freeze Rider,Arcade,"Ever dreamed of being an ice surfer and freeze your way to the top ?! Well now, you can!

With your new free casual game, Freeze rider, you will have the amazing power of throwing ice everywhere to create virtual ramps and slide on it for hours of fun.

Discover many beautiful environments, collect as much ice as you can to go as high as you can to then slide as far as you can! Guaranteed fun through this never-seen before new sliding experience.

Here is a list the features of your new free casual game:

⭐ Beautiful graphics 
⭐ Many fun characters and skins to unlock along the way 
⭐ 100% free game
⭐ Fun and addictive gameplay 
⭐ Easy controls
⭐ For adults and kids!

Now it's time to collect ice cubes and be the best ice surfer you can. Enjoy and don’t catch a cold :)
","1,000,000+",17591.0,4.3
6,Homescapes,Casual,"Welcome to Homescapes, the most heartwarming game from Playrix's Scapes™ series! Solve match-3 puzzles to restore a wonderful mansion on a verdant street. Exciting adventures start at the doorstep!

Beat colorful match-3 levels to renovate and decorate rooms in the mansion, unlocking ever more chapters in the exciting family story along the way! What are you waiting for? Make yourself at home!

The game features:

● Unique gameplay: help Austin renovate the house by swapping and matching pieces!
● Interior design: you decide what the house will look like.
● Exciting match-3 levels: tons of fun, featuring unique boosters and explosive combinations!
● A huge, beautiful mansion: discover all the secrets it holds!
● Fantastic characters: watch them live their lives and interact with each other in the in-game social network.
● A cute pet: meet а naughty and fluffy cat.
● Invite your Facebook friends to help you create your own cozy atmosphere in the house!

Give the old mansion a complete makeover! Show off your designer skills by furnishing and decorating the kitchen, hall, orangery, and other house areas, including the garage! Thousands of design options will give you maximum freedom to explore your creativity, change designs any time you want, and eventually create your dream house!

Homescapes is free to play, though some in-game items can also be purchased for real money. If you don't want to use this option, simply turn it off in your device's Restrictions menu.

Enjoying Homescapes? Learn more about the game!
Facebook: https://www.facebook.com/homescapes/
Instagram: https://www.instagram.com/homescapes_mobile/

Questions? Contact our Tech Support by sending an email to homescapes@playrix.com
","100,000,000+",9417404.0,4.3
7,Rider,Arcade,"Get ready for some flippin' action!

Perform insane stunts while you cruise through the never-ending world of Rider! Grab your motorcycle and start flipping like a maniac!

◉ Complete 100 Challenges
◉ Collect 40 Awesome Bikes (including 4 Secrets)
◉ Receive Daily Rewards
◉ Complete all 32 Levels
◉ Unlock 10 Themes
◉ Compare your highscore with players worldwide
◉ Make insane stunts!

Download now and push your skills to the limit in Rider!
","50,000,000+",1030403.0,3.9
8,Sling Drift,Action,"Fast action drifting with your car around an endless race track.

One tap easy to learn controls with addictive gameplay.

How far can you go?
","50,000,000+",169070.0,4.0
9,리니지M,Role Playing,"더욱 강력해진 기사의 스턴과 연계기! 기사의 완벽한 재탄생
새로운 보스, 전투 모드가 더해진 월드 보스 & 시련 던전
다양한 전략 요소가 가미된 테베라스 & 무너지는 섬 월드 전장
최고의 연맹만이 노릴 수 있는 기르타스
언제 어디서나 리니지M을 즐길 수 있는 무접속 플레이까지
강력하게 돌아온 기사와 함께 새롭게 업데이트 되는
아덴 월드의 변화를 만나보세요!

▣ 게임 소개 ▣

▶PC의 향수! 리니지 본질 그대로 리니지M◀
리니지의 감성을 그대로 옮긴 '리니지M' !
PC의 향수를 그대로 옮겨 간편한 조작으로
이제 언제 어디서나 리니지를 경험하다

▶모바일로 표현한 원작의 감성◀
PC리니지와 동일한 아덴월드의 오픈 필드
젤, 데이, 일본도 등 과거 기억했던 추억의 아이템 그대로!
추억의 오크와 셀로브 사운드, 법사 몰이 사냥 등

▶모바일로 재해석된 리니지 핵심 컨텐츠◀
[조작] 자유롭고 간편하게 아크 셀럭터!
[모바일 UI] 최소의 조작으로 최대의 효과를 발휘하는 모바일 전투 UI!
[클래스] 다양한 전투의 재미를 선사할 10개의 클래스 
[거래소] 아이템을 자유롭게 거래하는 시장 경제 시스템과 서버를 넘나드는 월드 거래소
[필드] 기란 감옥, 에바왕국, 용의 계곡 등!
[시련 던전] 매일 다르게 새로운 도전 가능한 싱글형/경쟁형/협력형의 타입 별 던전
[월드 보스] 다수가 함께 즐길 수 있는 다양한 월드 보스 레이드
[PVP] 모바일에서 새롭게 선보이는 PVP 시스템- PVP북, 도발, 복수, 랭킹 시스템
[인챈트] 이젠 모바일에서도 ‘파랗게 빛났지만 증발하였습니다’ 인챈트!
[변신/마법인형] 리니지 아이덴티티를 계승하고 모바일에 맞춰 진화한 변신/마법인형!
[공성전] 모바일 대규모 전투 특화 기능과 용병 시스템으로 새롭게 태어난 리니지의 꽃, 공성전!

▶대규모 월드 & 마스터 전투의 시작◀
10개 서버가 하나의 성을 두고 전투를 벌이는 월드 공성전
승리를 앞에 두고 치열하게 펼쳐지는 전장 라스타바드, 무너지는섬, 진영전, 해적섬
전체 월드 최상위 연맹의 접점 마스터 던전 영웅들의 땅, 지배의 탑, 기르타스 레이드까지
대규모 전투를 모바일 환경에서 즐겨보세요!

▶리니지M 공식 커뮤니티◀
1. 리니지M의 최신 정보와 이벤트 소식을 가장 빠르게 접할 수 있는 리니지M 커뮤니티
https://lineagem.plaync.com/board/free/list 
2. 운영자와 실시간으로 소통할 수 있고 다양한 영상을 만날 수 있는 리니지M 페이스북 
https://www.facebook.com/lineagem 
3. 언제 어디서나 혈맹원들과 실시간으로 소통할 수 있는 퍼플(PURPLE)
https://play.google.com/store/apps/details?id=com.ncsoft.community


※ 보다 많은 소식이 궁금하다면 홈페이지를 확인하세요!
※ 홈페이지: https://lineagem.plaync.com/


[필수권한]
1. 저장공간(기기사진, 미디어, 파일) 엑세스 허용
- 게임을 실행하는데 필요한 파일을 단말기에 저장하기 위해 이 권한이 필요합니다.
- 리소스 다운로드를 위해 SD카드 쓰기/읽기권한을 요청합니다.
- 저장공간(기기사진, 미디어, 파일) 엑세스 권한에 저장소를 사용할 수 있는 권한이 포함되어 있으며, 해당 권한이 없을 때 게임 이용에 필요한 정보를 읽기/쓰기가 불가능하여 권한이 필요합니다.

[선택권한]
- 실시간 음성 대화 및 영상 녹화 시 음성 녹음을 위해, 오디오 녹음/재생 권한을 요청합니다.

* 선택적 권한은 동의하지 않으셔도 게임이용이 가능합니다.
* 접근 권한동의 후, 다음과 같이 접근 권한을 재설정하거나 철회할 수 있습니다.
* 최소사양: RAM 2GB
'리니지M 프로그램 설치 버튼 클릭 시 리니지M 프로그램 설치에 동의하신 것으로 간주합니다.'

[안드로이드6.0이상버전]
1. 접근 권한 별 철회 방법: 단말기설정>앱>더보기(설정및제어)>앱설정>앱권한>해당 접근권한 선택>접근권한동의 또는 철회선택
2. 앱별 철회방법:단말기설정>앱>해당앱선택>권한선택>접근권한동의 또는 철회선택

[안드로이드6.0미만버전]
운영체제 특성상 접근 권한 별 철회가 불가능하므로, 앱을 삭제하는 경우에만 접근 권한 철회가 가능합니다. 
안드로이드 버전을 업그레이드하여 주시길 권장 드립니다.

게임물 등급분류번호: 제 CC-OM-170705-002호

----
리니지M 고객상담 : 1566-7004
리니지M 팩스: 02-2186-3499
이메일: MobileCS@ncsoft.com
----
개발자 연락처 :
(주)엔씨소프트
주소: 경기도 성남시 분당구 대왕판교로 644번길 12
대표: 김택진
고객상담: 1600-0020
팩스: 02-2186-3550
이메일: credit@ncsoft.com
More powerful Knight's stun and linkage! The perfect rebirth of the knight
World Boss & Trial Dungeon with new boss, battle mode
Theberas & Crumbling Island World Battleground with various strategic elements
Girtas that only the best alliance can aim for
Even connectionless play where you can enjoy Lineage M anytime, anywhere
Newly updated with the strongly returned article
Meet the changes in Arden World!

▣ Game introduction ▣

▶ PC perfume! Lineage is the essence of Lineage M◀
'Lineage M'that transfers Lineage's sensibility as it is!
The perfume of the PC is transferred as it is,
Now experience Lineage anytime, anywhere

▶The emotion of the original work expressed in mobile ◀
Aden World's open field identical to PC Lineage
Items of memories you remembered in the past, such as gel, day, and Japanese swords!
Memories of Orcs and Cellob Sounds, Hunting the Magistrate, etc.

▶Lineage core contents reinterpreted as mobile ◀
[Operation] Free and easy arc selector!
[Mobile UI] Mobile battle UI that shows maximum effect with minimum operation!
[Class] 10 classes to provide fun in various battles
[Exchange] A market economy system that freely trades items and a world exchange that crosses servers
[Field] Giran Prison, Eva Kingdom, Dragon Valley, etc.!
[Trial Dungeon] Single type/competitive type/collaborative type of dungeon that allows new challenges every day
[World Boss] Various World Boss Raids that many can enjoy together
[PVP] New PVP system on mobile-PVP book, provocation, revenge, ranking system
[Enchant] Now, the mobile enchantment,'It has shone blue but has evaporated'!
[Transformation/Magic type] Transformation/Magic type that inherited the Lineage identity and evolved for mobile!
[Siege Wars] Lineage's flower, a new born lineage battle with specialized features and mercenary system for large-scale mobile battles!

▶The beginning of a large-scale world & master battle◀
A world siege in which 10 servers battle for one castle
Battlefield rastabad, collapsing island, camp, pirate island, fiercely unfolding ahead of victory
The contact point of all the world's top alliance Master dungeon Heroes' Land, Tower of Domination, and Girtas Raid
Enjoy massive battles in a mobile environment!

▶Lineage M Official Community◀
1. Lineage M community where you can access the latest information and event news of Lineage M in the fastest way.
https://lineagem.plaync.com/board/free/list
2. Lineage M Facebook where you can communicate with the operator in real time and meet various videos
https://www.facebook.com/lineagem
3. Purple (PURPLE) that allows real-time communication with clan members anytime, anywhere
https://play.google.com/store/apps/details?id=com.ncsoft.community


※ For more news, check the website!
※ Homepage: https://lineagem.plaync.com/


[Required Permissions]
1. Allow access to storage space (device photos, media, files)
-This permission is required to save the files required to run the game on the terminal.
-Request SD card write/read permission for resource download.
-The right to use the storage is included in the access right to the storage space (device photos, media, files), and if you do not have the right, you cannot read/write the information necessary to use the game, so you need permission.

[Options]
-Request audio recording/playback permission for audio recording when recording real-time audio chat and video.

* You can use the game even if you do not agree to the optional permission.
* After consenting to access rights, you can reset or revoke access rights as follows.
* Minimum specification: RAM 2GB
'If you click the Lineage M program installation button, you are deemed to have agreed to the Lineage M program installation.'

[Android 6.0 or higher version]
1. How to withdraw by access permission: Terminal Settings> Apps> More (Settings and Controls)> App Settings> App Permissions> Select Appropriate Access Permissions> Select Accept or Withdraw Access Permissions
2. How to withdraw by app: Terminal Settings> Apps> Select the App> Select Permissions> Select Access Permission Agreement or Revocation

[Android version less than 6.0]
Due to the nature of the operating system, it is impossible to revoke each access permission, so you can revoke access only when you delete the app.
We recommend that you upgrade the Android version.

Game product classification number: CC-OM-170705-002

----
Lineage M customer consultation: 1566-7004
Lineage M Fax: 02-2186-3499
Email: MobileCS@ncsoft.com
","1,000,000+",78649.0,2.9
